problem,revision,species,rate_rule_variables,estimated_parameters,condition_pairs,measurements,observables,finite_series,finite_times_min_per_series,finite_times_max_per_series,series_with_at_most_two_times,finite_time_min,finite_time_max,replicate_excess_rows,conditions_with_unequal_grids,preequilibration_conditions,infinite_time_rows,events,sbml_piecewise_blocks,initial_assignments,observation_overrides,noise_overrides,observation_transformations,noise_distributions,objective_priors
Alkan_SciSignal2018,ddaa86d13f708926c57ec8918ce75a6b50e2e562,36,,56,73,1733,12,360,1,13,258,0.0,48.0,639,10,0,0,0,1,4,1,1,lin,normal,
Armistead_CellDeathDis2024,ddaa86d13f708926c57ec8918ce75a6b50e2e562,4,,14,2,58,4,8,1,2,8,0.0,2.0,44,2,0,0,0,0,0,0,1,lin,normal,
Bachmann_MSB2011,ddaa86d13f708926c57ec8918ce75a6b50e2e562,25,,113,36,541,20,101,1,29,43,0.0,360.0,92,3,0,0,0,0,6,1,1,lin;log10,normal,parameterScaleNormal
Beer_MolBioSystems2014,ddaa86d13f708926c57ec8918ce75a6b50e2e562,4,,72,19,27132,2,38,714,714,0,0.0,3565.0,0,0,0,0,0,1,1,0,1,lin,normal,
Bertozzi_PNAS2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,3,,8,2,22,2,2,11,11,0,0.0,10.0,0,0,0,0,0,0,3,0,0,lin,normal,
Blasi_CellSystems2016,ddaa86d13f708926c57ec8918ce75a6b50e2e562,16,,9,1,252,15,0,0,0,0,,,237,0,0,252,0,0,0,0,1,log,normal,
Boehm_JProteomeRes2014,ddaa86d13f708926c57ec8918ce75a6b50e2e562,8,,9,1,48,3,3,16,16,0,0.0,240.0,0,0,0,0,0,0,2,0,1,lin,normal,
Borghans_BiophysChem1997,ddaa86d13f708926c57ec8918ce75a6b50e2e562,3,,23,1,111,1,1,111,111,0,0.029484867,8.983842293,0,0,0,0,0,0,3,1,1,log10,normal,
Brannmark_JBC2010,ddaa86d13f708926c57ec8918ce75a6b50e2e562,9,,22,8,43,3,10,1,12,7,0.0,30.0,0,1,1,0,0,2,0,1,1,lin,normal,
Bruno_JExpBot2016,ddaa86d13f708926c57ec8918ce75a6b50e2e562,7,,13,6,77,5,11,7,7,0,5.0,180.0,0,0,0,0,0,0,5,0,1,lin,normal,
Chen_MSB2009,ddaa86d13f708926c57ec8918ce75a6b50e2e562,500,,155,4,120,3,12,10,10,0,1800.0,9000.0,0,0,0,0,0,18,0,1,1,lin,normal,
Crauste_CellSystems2017,ddaa86d13f708926c57ec8918ce75a6b50e2e562,5,,12,1,21,4,4,2,7,1,4.0,28.0,0,1,0,0,0,0,0,0,1,lin,normal,
Elowitz_Nature2000,ddaa86d13f708926c57ec8918ce75a6b50e2e562,8,,21,1,58,1,1,58,58,0,10.0,600.0,0,0,0,0,0,0,8,1,1,log10,normal,
Fiedler_BMCSystBiol2016,ddaa86d13f708926c57ec8918ce75a6b50e2e562,6,,22,3,72,2,12,5,7,0,0.0,10.0,0,0,0,0,0,0,6,1,1,lin,normal,
Froehlich_CellSystems2018,ddaa86d13f708926c57ec8918ce75a6b50e2e562,1396,,4231,9169,9169,1,0,0,0,0,,,0,0,0,9169,0,0,0,1,1,lin,normal,
Fujita_SciSignal2010,ddaa86d13f708926c57ec8918ce75a6b50e2e562,9,,19,6,144,3,18,8,8,0,0.0,3600.0,0,0,0,0,0,1,3,1,1,lin,normal,
Giordano_Nature2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,13,,50,1,313,7,7,43,46,0,0.0,45.0,0,1,0,0,0,55,1,0,1,lin,normal,
Isensee_JCB2018,ddaa86d13f708926c57ec8918ce75a6b50e2e562,25,,46,123,687,3,123,1,7,107,0.0,180.0,468,0,1,0,0,8,0,1,1,lin,normal,parameterScaleNormal
Lang_PLOSComputBiol2024,ddaa86d13f708926c57ec8918ce75a6b50e2e562,124,,294,1,9600,16,16,600,600,0,0.0,136471.6126,0,0,0,0,0,0,0,0,0,lin,normal,laplace;uniform
Laske_PLOSComputBiol2019,ddaa86d13f708926c57ec8918ce75a6b50e2e562,41,,13,3,42,13,13,1,10,9,0.0,28.0,0,1,0,0,0,0,27,1,1,lin;log,normal,
Liu_IFACPapersOnLine2025,ddaa86d13f708926c57ec8918ce75a6b50e2e562,0,U;I_1;I_2;I_3;I_4;I_5;V,9,2,100,1,2,5,5,0,0.0,4.0,90,0,0,0,1,0,3,0,0,lin,normal,
Lucarelli_CellSystems2018,ddaa86d13f708926c57ec8918ce75a6b50e2e562,33,,84,16,1755,65,197,1,7,81,0.0,600.0,1102,0,0,0,0,0,5,0,0,lin;log10,normal,
Okuonghae_ChaosSolitonsFractals2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,9,,16,1,92,2,2,46,46,0,0.0,47.0,0,0,0,0,0,0,3,0,1,lin,normal,
Oliveira_NatCommun2021,ddaa86d13f708926c57ec8918ce75a6b50e2e562,9,Cumulative_cases,12,1,120,2,2,60,60,0,0.0,59.0,0,0,0,0,0,2,5,0,1,lin,normal,
Perelson_Science1996,ddaa86d13f708926c57ec8918ce75a6b50e2e562,4,,3,1,16,1,1,16,16,0,0.0,6.973,0,0,0,0,0,0,0,0,1,log10,normal,
Rahman_MBS2016,ddaa86d13f708926c57ec8918ce75a6b50e2e562,7,,9,1,23,1,1,23,23,0,0.0,22.0,0,0,0,0,0,0,0,0,1,lin,normal,
Raia_CancerResearch2011,ddaa86d13f708926c57ec8918ce75a6b50e2e562,14,,39,4,205,8,20,4,22,0,0.0,120.0,0,4,0,0,0,0,1,1,1,lin,normal,
Raimundez_PCB2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,22,,136,170,627,79,415,1,9,384,0.0,4320.0,0,0,4,0,0,3,22,1,1,lin,normal,laplace;parameterScaleNormal
SalazarCavazos_MBoC2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,75,,6,4,18,3,12,1,3,9,60.0,300.0,0,0,0,0,0,0,4,0,1,lin,normal,
Schwen_PONE2014,ddaa86d13f708926c57ec8918ce75a6b50e2e562,11,,30,19,286,4,22,1,16,8,0.0,60.0,126,0,0,0,0,0,3,1,1,log10,normal,parameterScaleNormal
Smith_BMCSystBiol2013,ddaa86d13f708926c57ec8918ce75a6b50e2e562,133,,25,35,62,9,51,1,10,49,0.0,960.0,0,4,0,0,3,2,0,0,0,lin,normal,
Sneyd_PNAS2002,ddaa86d13f708926c57ec8918ce75a6b50e2e562,6,,15,9,135,1,9,15,15,0,0.0,0.98,0,0,0,0,0,0,0,0,1,lin,normal,
Weber_BMC2015,ddaa86d13f708926c57ec8918ce75a6b50e2e562,7,,36,2,135,8,11,1,9,5,0.0,30.0,95,2,1,0,0,4,0,1,1,lin,normal,
Zhao_QuantBiol2020,ddaa86d13f708926c57ec8918ce75a6b50e2e562,5,,28,7,82,1,7,7,15,0,0.0,39.0,0,0,0,0,0,0,4,0,1,lin,normal,
Zheng_PNAS2012,ddaa86d13f708926c57ec8918ce75a6b50e2e562,15,,46,1,60,15,15,4,4,0,0.0,25.0,0,0,1,0,0,0,0,0,1,lin,normal,
