simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	0.20000000008560503	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.19707036472718914	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	0.1941662897765694	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	0.1912878580408916	0.15000000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	0.18843514872596498	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	0.18560823880932825	0.25	obs_y1		noiseParameter1	dataset1	0
condition1	0.18280720097468028	0.30000000000000004	obs_y1		noiseParameter1	dataset1	0
condition1	0.18003210348927207	0.35000000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	0.17728301203175745	0.4	obs_y1		noiseParameter1	dataset1	0
condition1	0.17455998853948151	0.45	obs_y1		noiseParameter1	dataset1	0
condition1	0.17186308984147974	0.5	obs_y1		noiseParameter1	dataset1	0
condition1	0.1691923700226283	0.55	obs_y1		noiseParameter1	dataset1	0
condition1	0.16654787850967184	0.6000000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.16392965999309525	0.65	obs_y1		noiseParameter1	dataset1	0
condition1	0.16133775642290077	0.7000000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.1587722042817126	0.75	obs_y1		noiseParameter1	dataset1	0
condition1	0.15623303542998804	0.8	obs_y1		noiseParameter1	dataset1	0
condition1	0.1537202782705772	0.8500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.15123395531513623	0.9	obs_y1		noiseParameter1	dataset1	0
condition1	0.14877408575274478	0.9500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.1463406839697778	1.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.3999999999154311	0.0	obs_y2		noiseParameter1	dataset1	0
condition1	0.39747929342264215	0.05	obs_y2		noiseParameter1	dataset1	0
condition1	0.3949553258084904	0.1	obs_y2		noiseParameter1	dataset1	0
condition1	0.3924280229825113	0.15000000000000002	obs_y2		noiseParameter1	dataset1	0
condition1	0.3898973126903784	0.2	obs_y2		noiseParameter1	dataset1	0
condition1	0.3873631274797858	0.25	obs_y2		noiseParameter1	dataset1	0
condition1	0.3848254068550774	0.30000000000000004	obs_y2		noiseParameter1	dataset1	0
condition1	0.3822840912356181	0.35000000000000003	obs_y2		noiseParameter1	dataset1	0
condition1	0.3797391291978931	0.4	obs_y2		noiseParameter1	dataset1	0
condition1	0.3771904720386515	0.45	obs_y2		noiseParameter1	dataset1	0
condition1	0.3746380779836977	0.5	obs_y2		noiseParameter1	dataset1	0
condition1	0.3720819063830123	0.55	obs_y2		noiseParameter1	dataset1	0
condition1	0.3695219263055137	0.6000000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.36695811091569114	0.65	obs_y2		noiseParameter1	dataset1	0
condition1	0.36439043535180454	0.7000000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.36181888550618474	0.75	obs_y2		noiseParameter1	dataset1	0
condition1	0.3592434473606856	0.8	obs_y2		noiseParameter1	dataset1	0
condition1	0.35666411754017524	0.8500000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.35408089524388203	0.9	obs_y2		noiseParameter1	dataset1	0
condition1	0.3514937854526025	0.9500000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.34890279965735016	1.0	obs_y2		noiseParameter1	dataset1	0
