parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
lm	lin	-1000000.0	1000000.0	1.0	1
d	lin	-1000000.0	1000000.0	1.0	1
beta	lin	-1000000.0	1000000.0	1.0	1
a	lin	-1000000.0	1000000.0	1.0	1
k	lin	-1000000.0	1000000.0	1.0	1
u	lin	-1000000.0	1000000.0	1.0	1
c	lin	-1000000.0	1000000.0	1.0	1
q	lin	-1000000.0	1000000.0	1.0	1
b	lin	-1000000.0	1000000.0	1.0	1
h	lin	-1000000.0	1000000.0	1.0	1
init_x	lin	0.001	1000.0	1.0	1
init_y	lin	0.001	1000.0	1.0	1
init_v	lin	0.001	1000.0	1.0	1
init_w	lin	0.001	1000.0	1.0	1
init_z	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
